table_name,column_name,ordinal_position,is_nullable,data_type
applied_coupon,id,1,YES,STRING
applied_coupon,display_name,2,YES,STRING
applied_coupon,discounted_amount,3,YES,FLOAT64
applied_coupon,code,4,YES,STRING
applied_coupon,coupon_type,5,YES,INT64
applied_coupon,checkout_id,6,YES,STRING
applied_coupon,_fivetran_synced,7,YES,TIMESTAMP
applied_gift_certificate,code,1,YES,STRING
applied_gift_certificate,balance,2,YES,FLOAT64
applied_gift_certificate,purchase_date,3,YES,TIMESTAMP
applied_gift_certificate,remaining,4,YES,FLOAT64
applied_gift_certificate,used,5,YES,FLOAT64
applied_gift_certificate,checkout_id,6,YES,STRING
applied_gift_certificate,_fivetran_synced,7,YES,TIMESTAMP
available_filter,id,1,YES,STRING
available_filter,name,2,YES,STRING
available_filter,product_count,3,YES,INT64
available_filter,type,4,YES,STRING
available_filter,_fivetran_synced,5,YES,TIMESTAMP
available_filter,_fivetran_deleted,6,YES,BOOL
banner,id,1,YES,INT64
banner,name,2,YES,STRING
banner,visible,3,YES,STRING
banner,date_from,4,YES,STRING
banner,location,5,YES,STRING
banner,item_id,6,YES,STRING
banner,content,7,YES,STRING
banner,date_type,8,YES,STRING
banner,date_to,9,YES,STRING
banner,page,10,YES,STRING
banner,date_created,11,YES,TIMESTAMP
banner,_fivetran_synced,12,YES,TIMESTAMP
banner,_fivetran_deleted,13,YES,BOOL
brand,id,1,YES,INT64
brand,custom_url,2,YES,STRING
brand,custom_url_is_customized,3,YES,BOOL
brand,image_url,4,YES,STRING
brand,meta_description,5,YES,STRING
brand,name,6,YES,STRING
brand,page_title,7,YES,STRING
brand,search_keywords,8,YES,STRING
brand,_fivetran_synced,9,YES,TIMESTAMP
brand,_fivetran_deleted,10,YES,BOOL
brand_meta_keyword,meta_keyword_id,1,YES,STRING
brand_meta_keyword,brand_id,2,YES,INT64
brand_meta_keyword,_fivetran_synced,3,YES,TIMESTAMP
brand_meta_keyword,_fivetran_deleted,4,YES,BOOL
brand_metafield,permission_set,1,YES,STRING
brand_metafield,key,2,YES,STRING
brand_metafield,id,3,YES,INT64
brand_metafield,date_modified,4,YES,TIMESTAMP
brand_metafield,value,5,YES,STRING
brand_metafield,resource_type,6,YES,STRING
brand_metafield,namespace,7,YES,STRING
brand_metafield,date_created,8,YES,TIMESTAMP
brand_metafield,description,9,YES,STRING
brand_metafield,resource_id,10,YES,INT64
brand_metafield,brand_id,11,YES,INT64
brand_metafield,_fivetran_synced,12,YES,TIMESTAMP
brand_metafield,_fivetran_deleted,13,YES,BOOL
cart,tax_included,1,YES,BOOL
cart,channel_id,2,YES,INT64
cart,currency_code,3,YES,STRING
cart,updated_time,4,YES,TIMESTAMP
cart,id,5,YES,STRING
cart,email,6,YES,STRING
cart,cart_amount,7,YES,FLOAT64
cart,discount_amount,8,YES,FLOAT64
cart,base_amount,9,YES,FLOAT64
cart,locale,10,YES,STRING
cart,created_time,11,YES,TIMESTAMP
cart,customer_id,12,YES,INT64
cart,parent_id,13,YES,STRING
cart,_fivetran_synced,14,YES,TIMESTAMP
cart,_fivetran_deleted,15,YES,BOOL
cart_coupon,id,1,YES,STRING
cart_coupon,code,2,YES,STRING
cart_coupon,coupon_type,3,YES,INT64
cart_coupon,discounted_amount,4,YES,FLOAT64
cart_coupon,cart_id,5,YES,STRING
cart_coupon,_fivetran_synced,6,YES,TIMESTAMP
cart_coupon,_fivetran_deleted,7,YES,BOOL
cart_custom_item,id,1,YES,STRING
cart_custom_item,extended_list_price,2,YES,INT64
cart_custom_item,list_price,3,YES,INT64
cart_custom_item,name,4,YES,STRING
cart_custom_item,quantity,5,YES,INT64
cart_custom_item,sku,6,YES,STRING
cart_custom_item,cart_id,7,YES,STRING
cart_custom_item,_fivetran_synced,8,YES,TIMESTAMP
cart_custom_item,_fivetran_deleted,9,YES,BOOL
cart_digital_item,product_id,1,YES,INT64
cart_digital_item,sku,2,YES,STRING
