table_name,column_name,data_type
brand,custom_url,STRING
brand,custom_url_is_customized,BOOL
brand,id,INT64
brand,meta_description,STRING
brand,name,STRING
brand,page_title,STRING
brand,search_keywords,STRING
cart,base_amount,FLOAT64
cart,cart_amount,FLOAT64
cart,channel_id,INT64
cart,created_time,TIMESTAMP
cart,currency_code,STRING
cart,customer_id,INT64
cart,discount_amount,FLOAT64
cart,email,STRING
cart,id,STRING
cart,locale,STRING
cart,parent_id,STRING
cart,tax_included,BOOL
cart,updated_time,TIMESTAMP
category_tree,category_id,INT64
category_tree,default_product_sort,STRING
category_tree,description,STRING
category_tree,is_customized,BOOL
category_tree,is_visible,BOOL
category_tree,meta_description,STRING
category_tree,name,STRING
category_tree,page_title,STRING
category_tree,parent_id,INT64
category_tree,path,STRING
category_tree,search_keywords,STRING
category_tree,sort_order,INT64
category_tree,tree_id,INT64
category_tree,views,INT64
channel,date_created,TIMESTAMP
channel,date_modified,TIMESTAMP
channel,external_id,STRING
channel,id,INT64
channel,is_enabled,BOOL
channel,is_listable_from_ui,BOOL
channel,is_visible,BOOL
channel,name,STRING
channel,platform,STRING
channel,status,STRING
channel,type,STRING
channel_listing,channel_id,INT64
channel_listing,date_created,TIMESTAMP
channel_listing,date_modified,TIMESTAMP
channel_listing,description,STRING
channel_listing,external_id,STRING
channel_listing,listing_id,INT64
channel_listing,name,STRING
channel_listing,product_id,INT64
channel_listing,state,STRING
country,country,STRING
country,country_iso_2,STRING
country,country_iso_3,STRING
country,id,INT64
country_state,country_id,INT64
country_state,id,INT64
country_state,state,STRING
country_state,state_abbreviation,STRING
coupon,amount,STRING
coupon,code,STRING
coupon,date_created,TIMESTAMP
coupon,enabled,BOOL
coupon,expires,STRING
coupon,id,INT64
coupon,max_uses,INT64
coupon,max_uses_per_customer,INT64
coupon,min_purchase,STRING
coupon,name,STRING
coupon,num_uses,INT64
coupon,type,STRING
currency,auto_update,BOOL
currency,country_iso_2,STRING
currency,currency_code,STRING
currency,currency_exchange_rate,FLOAT64
currency,decimal_places,INT64
currency,enabled,BOOL
currency,id,INT64
currency,is_default,BOOL
currency,is_transactional,BOOL
currency,last_updated,TIMESTAMP
currency,name,STRING
customer,accepts_product_review_abandoned_cart_emails,BOOL
customer,address_count,INT64
customer,attribute_count,INT64
customer,company,STRING
customer,customer_group_id,INT64
customer,date_created,TIMESTAMP
customer,date_modified,TIMESTAMP
customer,email,STRING
customer,first_name,STRING
customer,force_password_reset,BOOL
customer,id,INT64
customer,last_name,STRING
customer,notes,STRING
customer,origin_channel_id,INT64
customer,phone,STRING
customer,tax_exempt_category,STRING
customer_address,address_1,STRING
customer_address,address_2,STRING
customer_address,address_type,STRING
customer_address,city,STRING
customer_address,company,STRING
customer_address,country,STRING
customer_address,country_code,STRING
customer_address,customer_id,INT64
customer_address,first_name,STRING
customer_address,id,STRING
customer_address,last_name,STRING
customer_address,phone,STRING
customer_address,postal_code,STRING
customer_address,state_or_province,STRING
customer_group,id,INT64
customer_group,is_default,BOOL
customer_group,is_group_for_guests,BOOL
customer_group,name,STRING
gift_certificate,amount,FLOAT64
gift_certificate,balance,FLOAT64
gift_certificate,code,STRING
gift_certificate,customer_id,INT64
gift_certificate,expiry_date,TIMESTAMP
gift_certificate,from_email,STRING
gift_certificate,from_name,STRING
gift_certificate,id,INT64
gift_certificate,message,STRING
gift_certificate,order_id,INT64
gift_certificate,purchase_date,TIMESTAMP
gift_certificate,status,STRING
gift_certificate,template,STRING
gift_certificate,to_email,STRING
gift_certificate,to_name,STRING
order_coupon,amount,FLOAT64
order_coupon,code,STRING
order_coupon,coupon_id,INT64
order_coupon,discount,FLOAT64
order_coupon,id,INT64
order_coupon,order_id,INT64
order_coupon,type,INT64
order_product,base_cost_price,STRING
order_product,base_price,STRING
order_product,base_total,STRING
order_product,base_wrapping_cost,STRING
order_product,bin_picking_number,STRING
order_product,cost_price_ex_tax,FLOAT64
order_product,cost_price_inc_tax,FLOAT64
order_product,cost_price_tax,FLOAT64
order_product,event_date,TIMESTAMP
order_product,event_name,STRING
order_product,external_id,STRING
order_product,fixed_shipping_cost,STRING
order_product,id,INT64
order_product,is_bundled_product,BOOL
order_product,is_refunded,BOOL
order_product,name,STRING
order_product,name_customer,STRING
order_product,name_merchant,STRING
order_product,option_set_id,INT64
order_product,order_address_id,INT64
order_product,order_id,INT64
order_product,parent_order_product_id,INT64
order_product,price_ex_tax,FLOAT64
order_product,price_inc_tax,FLOAT64
order_product,price_tax,FLOAT64
order_product,product_id,INT64
order_product,quantity,INT64
order_product,quantity_shipped,INT64
order_product,refunded_amount,STRING
order_product,return_id,INT64
order_product,sku,STRING
order_product,total_ex_tax,FLOAT64
order_product,total_inc_tax,FLOAT64
order_product,total_tax,FLOAT64
order_product,type,STRING
order_product,upc,STRING
order_product,variant_id,INT64
order_product,weight,STRING
order_product,wrapping_cost_ex_tax,FLOAT64
order_product,wrapping_cost_inc_tax,FLOAT64
order_product,wrapping_cost_tax,FLOAT64
order_product,wrapping_message,STRING
order_product,wrapping_name,STRING
order_refund,created,TIMESTAMP
order_refund,id,INT64
order_refund,order_id,INT64
order_refund,reason,STRING
order_refund,total_amount,FLOAT64
order_refund,total_tax,INT64
order_refund,user_id,INT64
order_refund,uses_merchant_override_values,BOOL
order_shipment,city,STRING
order_shipment,comments,STRING
order_shipment,company,STRING
order_shipment,country,STRING
order_shipment,country_iso_2,STRING
order_shipment,customer_id,INT64
order_shipment,date_created,TIMESTAMP
order_shipment,email,STRING
order_shipment,first_name,STRING
order_shipment,id,INT64
order_shipment,last_name,STRING
order_shipment,order_address_id,INT64
order_shipment,order_id,INT64
order_shipment,phone,STRING
order_shipment,shipping_method,STRING
order_shipment,shipping_provider,STRING
order_shipment,state,STRING
order_shipment,street_1,STRING
order_shipment,street_2,STRING
order_shipment,tracking_carrier,STRING
order_shipment,tracking_link,STRING
order_shipment,tracking_number,STRING
order_shipment,zip,STRING
order_shipping_address,base_cost,FLOAT64
order_shipping_address,base_handling_cost,FLOAT64
order_shipping_address,city,STRING
order_shipping_address,company,STRING
order_shipping_address,cost_ex_tax,FLOAT64
order_shipping_address,cost_inc_tax,FLOAT64
order_shipping_address,cost_tax,FLOAT64
order_shipping_address,cost_tax_class_id,INT64
order_shipping_address,country,STRING
order_shipping_address,country_iso_2,STRING
order_shipping_address,email,STRING
order_shipping_address,first_name,STRING
order_shipping_address,handling_cost_ex_tax,FLOAT64
order_shipping_address,handling_cost_inc_tax,FLOAT64
order_shipping_address,handling_cost_tax,FLOAT64
order_shipping_address,handling_cost_tax_class_id,INT64
order_shipping_address,id,INT64
order_shipping_address,items_shipped,INT64
order_shipping_address,items_total,INT64
order_shipping_address,last_name,STRING
order_shipping_address,order_id,INT64
order_shipping_address,phone,STRING
order_shipping_address,shipping_method,STRING
order_shipping_address,shipping_zone_id,INT64
order_shipping_address,shipping_zone_name,STRING
order_shipping_address,state,STRING
order_shipping_address,street_1,STRING
order_shipping_address,street_2,STRING
order_shipping_address,zip,STRING
order_status,custom_label,STRING
order_status,id,INT64
order_status,name,STRING
order_status,order_id,INT64
order_status,system_description,STRING
order_status,system_label,STRING
order_tax,class,STRING
order_tax,id,INT64
order_tax,line_amount,FLOAT64
order_tax,line_item_type,STRING
order_tax,name,STRING
order_tax,order_address_id,INT64
order_tax,order_id,INT64
order_tax,order_product_id,INT64
order_tax,priority,INT64
order_tax,priority_amount,FLOAT64
order_tax,rate,FLOAT64
order_tax,tax_class_id,INT64
order_tax,tax_rate_id,INT64
order_transaction,amount,FLOAT64
order_transaction,card_type,STRING
order_transaction,currency,STRING
order_transaction,custom_payment_method,STRING
order_transaction,date_created,TIMESTAMP
order_transaction,display_name,STRING
order_transaction,event,STRING
order_transaction,gateway,STRING
order_transaction,gift_certificate_code,STRING
order_transaction,gift_certificate_original_balance,FLOAT64
order_transaction,gift_certificate_remaining_balance,FLOAT64
order_transaction,gift_certificate_starting_balance,FLOAT64
order_transaction,gift_certificate_status,STRING
order_transaction,id,INT64
order_transaction,method,STRING
order_transaction,order_id,INT64
order_transaction,payment_method_id,STRING
order_transaction,reference_transaction_id,INT64
order_transaction,status,STRING
order_transaction,store_credit_remaining_balance,FLOAT64
orders,base_handling_cost,FLOAT64
orders,base_shipping_cost,FLOAT64
orders,base_wrapping_cost,FLOAT64
orders,cart_id,STRING
orders,channel_id,INT64
orders,city,STRING
orders,company,STRING
orders,country,STRING
orders,country_iso_2,STRING
orders,coupon_discount,FLOAT64
orders,currency_code,STRING
orders,currency_exchange_rate,FLOAT64
orders,currency_id,INT64
orders,customer_id,INT64
orders,customer_locale,STRING
orders,customer_message,STRING
orders,date_created,TIMESTAMP
orders,date_modified,TIMESTAMP
orders,date_shipped,TIMESTAMP
orders,default_currency_code,STRING
orders,default_currency_id,INT64
orders,discount_amount,FLOAT64
orders,email,STRING
orders,external_id,STRING
orders,external_merchant_id,STRING
orders,external_source,STRING
orders,first_name,STRING
orders,geoip_country,STRING
orders,geoip_country_iso_2,STRING
orders,gift_certificate_amount,FLOAT64
orders,handling_cost_ex_tax,FLOAT64
orders,handling_cost_inc_tax,FLOAT64
orders,handling_cost_tax,FLOAT64
orders,handling_cost_tax_class_id,INT64
orders,id,INT64
orders,is_deleted,BOOL
orders,is_email_opt_in,BOOL
orders,items_shipped,INT64
orders,items_total,INT64
orders,last_name,STRING
orders,order_is_digital,BOOL
orders,order_source,STRING
orders,payment_method,STRING
orders,payment_provider_id,STRING
orders,payment_status,STRING
orders,phone,STRING
orders,refunded_amount,FLOAT64
orders,shipping_address_count,INT64
orders,shipping_cost_ex_tax,FLOAT64
orders,shipping_cost_inc_tax,FLOAT64
orders,shipping_cost_tax,FLOAT64
orders,shipping_cost_tax_class_id,INT64
orders,staff_notes,STRING
orders,state,STRING
orders,status,STRING
orders,status_id,INT64
orders,store_credit_amount,FLOAT64
orders,store_default_currency_code,STRING
orders,store_default_to_transactional_exchange_rate,STRING
orders,street_1,STRING
orders,street_2,STRING
orders,subtotal_ex_tax,FLOAT64
orders,subtotal_inc_tax,FLOAT64
orders,subtotal_tax,FLOAT64
orders,tax_provider_id,STRING
orders,total_ex_tax,FLOAT64
orders,total_inc_tax,FLOAT64
orders,wrapping_cost_ex_tax,FLOAT64
orders,wrapping_cost_inc_tax,FLOAT64
orders,wrapping_cost_tax,FLOAT64
orders,wrapping_cost_tax_class_id,INT64
orders,zip,STRING
price_list,active,BOOL
price_list,date_created,TIMESTAMP
price_list,date_modified,TIMESTAMP
price_list,id,INT64
price_list,name,STRING
price_list_assignment,channel_id,INT64
price_list_assignment,customer_group_id,INT64
price_list_assignment,id,INT64
price_list_assignment,price_list_id,INT64
price_list_record,calculated_price,FLOAT64
price_list_record,currency,STRING
price_list_record,date_created,TIMESTAMP
price_list_record,date_modified,TIMESTAMP
price_list_record,map_price,FLOAT64
price_list_record,price,FLOAT64
price_list_record,price_list_id,INT64
price_list_record,product_id,INT64
price_list_record,retail_price,FLOAT64
